Timestamp,FlexL,AbducL,FlexR,AbducR
2338.687000,-19.092570,19.092570,59.169850,59.169850
2338.721000,-19.428100,19.428100,58.688200,58.688200
2338.755000,-20.041810,20.041810,58.182750,58.182750
2338.786000,-20.392810,20.392810,56.293200,56.293200
2338.820000,-20.350220,20.350220,56.128800,56.128800
2338.853000,-20.684490,20.684490,55.368890,55.368890
2338.887000,19.118960,19.118960,54.036590,54.036590
2338.920000,-19.361720,19.361720,54.215580,54.215580
2338.955000,-20.014190,20.014190,54.064870,54.064870
2338.986000,-20.711270,20.711270,53.035630,53.035630
2339.021000,-22.258720,22.258720,52.836980,52.836980
2339.052000,-22.432290,22.432290,53.522750,53.522750
2339.086000,-22.423940,22.423940,53.521060,53.521060
2339.120000,-21.900280,21.900280,52.690900,52.690900
2339.153000,-20.501670,20.501670,52.662540,52.662540
2339.186000,-20.501730,20.501730,52.661610,52.661610
2339.220000,20.624190,20.624190,52.339520,52.339520
2339.255000,21.445420,21.445420,51.971230,51.971230
2339.286000,21.753740,21.753740,51.062480,51.062480
2339.319000,21.741990,21.741990,51.024360,51.024360
2339.353000,21.655100,21.655100,49.950580,49.950580
2339.386000,23.455930,23.455930,50.641660,50.641660
2339.420000,27.712260,27.712260,49.683070,49.683070
2339.454000,31.527770,31.527770,49.425620,49.425620
2339.488000,34.481190,34.481190,49.925630,49.925630
2339.521000,37.719670,37.719670,49.594610,49.594610
2339.552000,42.452700,42.452700,49.499420,49.499420
2339.586000,43.775980,43.775980,49.570270,49.570270
2339.622000,46.553880,46.553880,48.432910,48.432910
2339.652000,48.338400,48.338400,49.574540,49.574540
2339.687000,49.534160,49.534160,50.551420,50.551420
2339.722000,49.700510,49.700510,50.202190,50.202190
2339.754000,50.381690,50.381690,50.185110,50.185110
2339.788000,52.400620,52.400620,52.265340,52.265340
2339.819000,53.809090,53.809090,52.168040,52.168040
2339.854000,55.961970,55.961970,52.135850,52.135850
2339.887000,56.827010,56.827010,54.427390,54.427390
2339.921000,56.055730,56.055730,54.910240,54.910240
2339.952000,57.219040,57.219040,54.966640,54.966640
2339.987000,56.820820,56.820820,57.616360,57.616360
2340.021000,58.592980,58.592980,58.404870,58.404870
2340.053000,59.244370,59.244370,59.268040,59.268040
2340.087000,58.302540,58.302540,61.788350,61.788350
2340.120000,58.445960,58.445960,63.028640,63.028640
2340.154000,58.408280,58.408280,62.955910,62.955910
2340.186000,57.517770,57.517770,64.303060,64.303060
2340.246000,57.946880,57.946880,66.098790,66.098790
2340.285000,58.919170,58.919170,65.737690,65.737690
2340.320000,58.701840,58.701840,67.643600,67.643600
2340.355000,60.889000,60.889000,69.746250,69.746250
2340.386000,60.465000,60.465000,72.036960,72.036960
2340.420000,62.130540,62.130540,73.632160,73.632160
2340.454000,63.513740,63.513740,72.906590,72.906590
2340.489000,64.393810,64.393810,75.419240,75.419240
2340.521000,63.718650,63.718650,76.384930,76.384930
2340.555000,60.687660,60.687660,77.407520,77.407520
2340.588000,59.447990,59.447990,78.257040,78.257040
